"part","term","statistic","VAR","0.1","0.3","0.5","0.7","0.9"
"estimates","(Intercept)","estimate","0.001","-0.086***","-0.028***","0.000","0.029***","0.094***"
"estimates","(Intercept)","std.error","(0.006)","(0.009)","(0.005)","(0.003)","(0.004)","(0.009)"
"estimates","f_p1","estimate","0.075***","0.066","0.077***","0.086**","0.050**","0.053**"
"estimates","f_p1","std.error","(0.025)","(0.056)","(0.018)","(0.038)","(0.024)","(0.026)"
"estimates","w_p1","estimate","-0.119**","-0.037","0.099","0.099***","0.037","-0.060"
"estimates","w_p1","std.error","(0.050)","(0.069)","(0.063)","(0.015)","(0.064)","(0.128)"
"gof","Num.Obs.","","396","396","396","396","396","396"
"gof","R2","","0.032","-0.545","-0.080","-0.017","-0.049","-0.606"
"gof","R2 Adj.","","0.027","","","","",""
"gof","AIC","","-586.6","-534.2","-807.5","-870.9","-799.7","-490.8"
"gof","BIC","","-570.7","-522.2","-795.5","-859.0","-787.8","-478.9"
"gof","Log.Lik.","","297.308","","","","",""
"gof","F","","6.583","","","","",""
"gof","RMSE","","0.11","0.14","0.12","0.12","0.12","0.15"
