variable,mean,sd,min,max
FTN,167.17,55.97,10,250
YLD,7.39,2.25,1.16,14.01
cmip6_ipsl_ssp126,0.12,0.32,0,1
cmip6_ipsl_ssp585,0.12,0.32,0,1
cmip6_mpi_ssp126,0.12,0.32,0,1
cmip6_mpi_ssp585,0.12,0.32,0,1
irr,0.14,0.35,0,1
rf,0.86,0.35,0,1
rot_1,0.15,0.36,0,1
rot_2,0.07,0.26,0,1
rot_3,0.07,0.26,0,1
rot_4,0.15,0.36,0,1
rot_6,0.08,0.27,0,1
rot_7,0.15,0.36,0,1
rot_mono,0.33,0.47,0,1
til_bau,0.57,0.49,0,1
til_contill_r00,0.11,0.31,0,1
til_contill_r30,0.07,0.25,0,1
til_contill_r60,0.09,0.28,0,1
til_contill_r90,0.07,0.25,0,1
til_min_cons,0.1,0.3,0,1
wth_hist,0.53,0.5,0,1
